name,f1,roc_auc,model_type,fam,version
15_hydroxyprostaglandin_dehydrogenase_nad_,1.0,1.0,RandomForestClassifier,Other,py27
1_25_dihydroxyvitamin_d_3_24_hydroxylase_mitochondrial,1.0,1.0,XGBClassifier,Other,py27
1_acyl_sn_glycerol_3_phosphate_acyltransferase_beta,1.0,1.0,XGBClassifier,Enzyme,py27
2_5a_dependent_ribonuclease,1.0,1.0,XGBClassifier,Kinase,py35
2_acylglycerol_o_acyltransferase_2,1.0,1.0,SVC,Enzyme,py35
3_beta_hydroxysteroid_dehydrogenase_delta_5_4_isomerase_type_1,0.8888888888888891,0.9946236559139784,XGBClassifier,Other,py35
3_beta_hydroxysteroid_delta_8_delta_7_isomerase,0.5714285714285715,0.9525,XGBClassifier,Other,py27
3_phosphoinositide_dependent_protein_kinase_1,1.0,1.0,RandomForestClassifier,Kinase,py27
4_hydroxyphenylpyruvate_dioxygenase,1.0,1.0,SVC,Enzyme,py27
5_hydroxytryptamine_receptor_1a,1.0,1.0,RandomForestClassifier,GPCR,py27
5_hydroxytryptamine_receptor_1b,0.9395348837209304,0.987036513860596,XGBClassifier,GPCR,py27
5_hydroxytryptamine_receptor_1d,0.9625,0.9985070120849384,XGBClassifier,GPCR,py27
5_hydroxytryptamine_receptor_1f,1.0,1.0,SVC,GPCR,py35
5_hydroxytryptamine_receptor_2a,0.931909212283044,0.9940484461118059,XGBClassifier,GPCR,py27
5_hydroxytryptamine_receptor_2b,0.9015544041450776,0.9847390405220946,XGBClassifier,GPCR,py27
5_hydroxytryptamine_receptor_2c,0.9377777777777778,0.9945992948761032,XGBClassifier,GPCR,py27
5_hydroxytryptamine_receptor_3a,0.8876404494382022,0.9851176830200212,XGBClassifier,IC,py35
5_hydroxytryptamine_receptor_4,1.0,1.0,SVC,GPCR,py27
5_hydroxytryptamine_receptor_5a,0.85,0.9930955120828538,XGBClassifier,GPCR,py27
5_hydroxytryptamine_receptor_6,0.9623865110246432,0.9985049447235554,XGBClassifier,GPCR,py27
5_hydroxytryptamine_receptor_7,0.9285714285714286,0.996618429431218,XGBClassifier,GPCR,py27
5_nucleotidase,1.0,1.0,XGBClassifier,Enzyme,py35
6_phosphofructo_2_kinase_fructose_2_6_bisphosphatase_4,1.0,1.0,XGBClassifier,Other,py35
72_kda_type_iv_collagenase,0.9699074074074074,0.9967470775183798,XGBClassifier,Enzyme,py27
