name,f1_score,roc_auc_score,total_actives,predicted_actives,version
transmembrane_protease_serine_11d,1.0,1.0,4,4,py35
farnesyl_pyrophosphate_synthase,1.0,1.0,36,36,py27
c3a_anaphylatoxin_chemotactic_receptor,1.0,1.0,5,5,py35
bombesin_receptor_subtype_3,1.0,1.0,24,24,py35
fatty_acid_desaturase_1,1.0,1.0,7,7,py27
arginase_1,1.0,1.0,5,5,py27
alpha_1_6_mannosyl_glycoprotein_2_beta_n_acetylglucosaminyltransferase,1.0,1.0,8,8,py27
membrane_metallo_endopeptidase_like_1,1.0,1.0,7,7,py27
hepatic_triacylglycerol_lipase,1.0,1.0,65,65,py27
probable_g_protein_coupled_receptor_142,1.0,1.0,6,6,py35
udp_glucuronosyltransferase_2b7,1.0,1.0,6,6,py27
vitamin_k_dependent_protein_c,1.0,1.0,7,7,py27
peptide_deformylase_mitochondrial,1.0,1.0,5,5,py27
c_c_chemokine_receptor_type_9,1.0,1.0,20,20,py35
carboxypeptidase_b2,1.0,1.0,32,32,py27
serine_protease_hepsin,1.0,1.0,7,7,py27
prostaglandin_e_synthase_2,1.0,1.0,6,6,py27
carboxypeptidase_b,1.0,1.0,5,5,py27
1_acyl_sn_glycerol_3_phosphate_acyltransferase_beta,1.0,1.0,17,17,py27
aldo_keto_reductase_family_1_member_c2,1.0,1.0,4,4,py27
legumain,1.0,1.0,11,11,py27
tryptophan_5_hydroxylase_1,1.0,1.0,27,27,py27
apelin_receptor,1.0,1.0,2,2,py35
solute_carrier_family_22_member_12,1.0,1.0,51,51,py35
excitatory_amino_acid_transporter_2,1.0,1.0,6,6,py35
sodium_and_chloride_dependent_gaba_transporter_1,1.0,1.0,9,9,py35
solute_carrier_family_40_member_1,1.0,1.0,5,5,py35
trace_amine_associated_receptor_1,1.0,1.0,9,9,py35
lysine_trna_ligase,1.0,1.0,7,7,py27
group_10_secretory_phospholipase_a2,1.0,1.0,4,4,py27
lysophosphatidic_acid_receptor_1,1.0,1.0,4,4,py27
g_protein_coupled_receptor_4,1.0,1.0,6,6,py27
protein_arginine_n_methyltransferase_8,1.0,1.0,6,6,py27
histone_lysine_n_methyltransferase_h3_lysine_79_specific,1.0,1.0,4,4,py27
potassium_channel_subfamily_k_member_9,1.0,1.0,8,8,py35
flap_endonuclease_1,1.0,1.0,5,5,py27
enteropeptidase,1.0,1.0,42,42,py27
glycogen_starch_synthase_muscle,1.0,1.0,4,4,py27
prostate_specific_antigen,1.0,1.0,8,8,py27
protoporphyrinogen_oxidase,1.0,1.0,4,4,py27
1_25_dihydroxyvitamin_d_3_24_hydroxylase_mitochondrial,1.0,1.0,6,6,py27
nad_p_h_dehydrogenase_quinone_1,1.0,1.0,7,7,py27
4_hydroxyphenylpyruvate_dioxygenase,1.0,1.0,15,15,py27
cytochrome_p450_26a1,1.0,1.0,18,18,py27
cytosol_aminopeptidase,1.0,1.0,4,4,py27
sphingosine_1_phosphate_receptor_4,1.0,1.0,7,7,py35
phospholipase_a2,1.0,1.0,10,10,py27
transketolase,1.0,1.0,8,8,py27
glutathione_s_transferase_p,1.0,1.0,5,5,py27
adenylate_cyclase_type_1,1.0,1.0,7,7,py27
disintegrin_and_metalloproteinase_domain_containing_protein_9,1.0,1.0,5,5,py27
glutamyl_aminopeptidase,1.0,1.0,4,4,py27
alcohol_dehydrogenase_class_3,1.0,1.0,4,4,py27
maltase_glucoamylase_intestinal,1.0,1.0,7,7,py27
tyrosyl_dna_phosphodiesterase_2,1.0,1.0,4,4,py27
natural_resistance_associated_macrophage_protein_2,1.0,1.0,5,5,py35
glutaminase_kidney_isoform_mitochondrial,1.0,1.0,100,100,py35
sodium_hydrogen_exchanger_1,1.0,1.0,30,30,py35
g_protein_coupled_receptor_55,1.0,1.0,6,6,py35
retinoic_acid_receptor_alpha,1.0,1.0,10,10,py35
retinoic_acid_receptor_gamma,1.0,1.0,18,18,py35
mitogen_activated_protein_kinase_kinase_kinase_5,1.0,1.0,4,4,py35
phosphatidylinositol_4_kinase_alpha,1.0,1.0,6,6,py35
beta_adrenergic_receptor_kinase_1,1.0,1.0,4,4,py35
metabotropic_glutamate_receptor_3,1.0,1.0,7,7,py35
ribosomal_protein_s6_kinase_alpha_5,1.0,1.0,5,5,py35
tyrosine_protein_kinase_mer,1.0,1.0,11,11,py35
2_5a_dependent_ribonuclease,1.0,1.0,5,5,py35
nt_3_growth_factor_receptor,1.0,1.0,4,4,py35
mitogen_activated_protein_kinase_kinase_kinase_kinase_4,1.0,1.0,4,4,py35
neurotensin_receptor_type_1,1.0,1.0,9,9,py35
map_kinase_interacting_serine_threonine_protein_kinase_2,1.0,1.0,26,26,py35
low_affinity_sodium_glucose_cotransporter,1.0,1.0,5,5,py35
serine_threonine_protein_kinase_sgk1,1.0,1.0,9,9,py35
mitogen_activated_protein_kinase_3,1.0,1.0,7,7,py35
serine_threonine_protein_kinase_tnni3k,1.0,1.0,7,7,py35
deoxycytidine_kinase,1.0,1.0,9,9,py35
mitogen_activated_protein_kinase_kinase_kinase_14,1.0,1.0,99,99,py35
kiss_1_receptor,1.0,1.0,29,29,py35
prostaglandin_d2_receptor,1.0,1.0,34,34,py35
putative_p2y_purinoceptor_10,1.0,1.0,7,7,py35
glutamate_receptor_4,1.0,1.0,4,4,py35
short_transient_receptor_potential_channel_6,1.0,1.0,4,4,py35
transient_receptor_potential_cation_channel_subfamily_v_member_3,1.0,1.0,38,38,py35
gamma_aminobutyric_acid_receptor_subunit_alpha_6,1.0,1.0,8,8,py35
steroid_hormone_receptor_err1,1.0,1.0,7,7,py35
retinoic_acid_receptor_rxr_beta,1.0,1.0,11,11,py35
bcl_2_related_protein_a1,1.0,1.0,4,4,py35
egl_nine_homolog_2,1.0,1.0,10,10,py35
equilibrative_nucleoside_transporter_1,1.0,1.0,31,31,py35
solute_carrier_family_2_facilitated_glucose_transporter_member_3,1.0,1.0,4,4,py35
hypoxia_inducible_factor_1_alpha,1.0,1.0,4,4,py35
toll_like_receptor_8,1.0,1.0,5,5,py35
elongation_of_very_long_chain_fatty_acids_protein_6,1.0,1.0,17,17,py35
regulator_of_g_protein_signaling_4,1.0,1.0,4,4,py35
vasopressin_v1b_receptor,1.0,1.0,20,20,py35
toll_like_receptor_7,1.0,1.0,6,6,py35
low_affinity_immunoglobulin_epsilon_fc_receptor,1.0,1.0,4,4,py35
integrin_alpha_v,1.0,1.0,5,5,py35
galectin_34,1.0,1.0,4,4,py35
eukaryotic_initiation_factor_4a_i,1.0,1.0,7,7,py35
igg_receptor_fcrn_large_subunit_p51,1.0,1.0,7,7,py35
intercellular_adhesion_molecule_1,1.0,1.0,24,24,py35
fibroblast_growth_factor_1,1.0,1.0,10,10,py35
cx3c_chemokine_receptor_1,1.0,1.0,4,4,py35
lysophosphatidic_acid_receptor_3,1.0,1.0,8,8,py35
c_c_chemokine_receptor_like_2,1.0,1.0,18,18,py35
period_circadian_protein_homolog_2,1.0,1.0,5,5,py35
niemann_pick_c1_like_protein_1,1.0,1.0,5,5,py35
complement_c1s_subcomponent,1.0,1.0,12,12,py35
endothelial_pas_domain_containing_protein_1,1.0,1.0,4,4,py35
c_c_motif_chemokine_5,1.0,1.0,6,6,py35
sphingosine_1_phosphate_receptor_2,1.0,1.0,19,19,py35
e_selectin,1.0,1.0,26,26,py35
tyrosine_protein_phosphatase_non_receptor_type_11,1.0,1.0,5,5,py27
cytochrome_p450_1b1,1.0,1.0,11,11,py27
insulin_like_growth_factor_binding_protein_3,1.0,1.0,4,4,py27
kininogen_1,1.0,1.0,10,10,py27
folate_receptor_alpha,1.0,1.0,7,7,py27
calcitonin_gene_related_peptide_1,1.0,1.0,10,10,py27
trifunctional_purine_biosynthetic_protein_adenosine_3,1.0,1.0,8,8,py27
appetite_regulating_hormone,1.0,1.0,4,4,py27
growth_factor_receptor_bound_protein_2,1.0,1.0,25,25,py27
long_chain_fatty_acid_transport_protein_1,1.0,1.0,5,5,py27
cyclin_t1,1.0,1.0,32,32,py27
vascular_cell_adhesion_protein_1,1.0,1.0,8,8,py27
sodium_calcium_exchanger_1,1.0,1.0,65,65,py35
mitogen_activated_protein_kinase_kinase_kinase_8,1.0,1.0,6,6,py27
neuropeptide_y_receptor_type_4,1.0,1.0,6,6,py27
protein_kinase_c_gamma_type,1.0,1.0,4,4,py27
mitogen_activated_protein_kinase_kinase_kinase_12,1.0,1.0,79,79,py27
mitogen_activated_protein_kinase_1,0.9969418960244648,0.9999085756079722,163,164,py27
sodium_glucose_cotransporter_1,0.9965156794425089,0.9998908058528062,143,144,py27
complement_factor_d,0.9959839357429718,0.996,125,124,py35
prostaglandin_d2_receptor_2,0.9927272727272728,0.9927797833935018,277,273,py35
sodium_glucose_cotransporter_2,0.9922077922077922,0.9922680412371134,194,191,py35
p2x_purinoceptor_3,0.9910979228486648,0.9939982950895778,169,168,py27
proteinase_activated_receptor_1,0.9909909909909907,0.9910714285714286,56,55,py35
histone_lysine_n_methyltransferase_ezh2,0.9902912621359222,0.9997266265718971,51,52,py27
corticotropin_releasing_factor_receptor_1,0.989384288747346,0.9935203360470432,236,235,py35
somatostatin_receptor_type_3,0.9887640449438202,0.9888888888888888,45,44,py35
serine_threonine_protein_kinase_mtor,0.9883570504527812,0.997111673229412,384,389,py27
protein_kinase_c_beta_type,0.9879518072289156,0.988095238095238,42,41,py27
endothelin_b_receptor,0.9876543209876544,0.9878048780487804,41,40,py35
sodium_dependent_dopamine_transporter,0.9874055415617128,0.9947094181249112,396,398,py27
inhibitor_of_nuclear_factor_kappa_b_kinase_subunit_beta,0.9873417721518988,0.9875,40,39,py27
prostaglandin_e2_receptor_ep1_subtype,0.9873417721518988,0.9875,80,78,py35
retinoic_acid_receptor_rxr_alpha,0.9870129870129868,0.9996423462088698,38,39,py35
ileal_sodium_bile_acid_cotransporter,0.9866666666666666,0.986842105263158,38,37,py27
cyclin_dependent_kinase_6,0.9866666666666666,0.986842105263158,38,37,py27
bile_acid_receptor,0.9863013698630138,0.9995344506517692,36,37,py35
isocitrate_dehydrogenase_nadp_cytoplasmic,0.9863013698630138,0.9864864864864864,74,72,py27
microsomal_triglyceride_transfer_protein_large_subunit,0.9863013698630138,0.9995344506517692,36,37,py27
stromelysin_1,0.9859649122807016,0.9944591619375214,284,286,py27
acetyl_coenzyme_a_transporter_1,0.9859154929577464,0.9861111111111112,36,35,py27
neuropeptide_y_receptor_type_1,0.9857142857142858,0.9859154929577464,71,69,py35
glutamate_carboxypeptidase_2,0.9855072463768116,0.9857142857142858,35,34,py27
lysosomal_protective_protein,0.9855072463768116,0.9996296296296296,34,35,py27
fibroblast_growth_factor_receptor_3,0.9852941176470588,0.9855072463768116,69,67,py35
